Job title,Age,Industry,Salary,Bonus,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
office manager,25-34,health care,41600.0,0.0,41600.0,United States,South Carolina,Greenville,8 - 10 years,8 - 10 years,College degree,Man,White
program manager ii,35-44,health care,68000.0,3000.0,71000.0,United States,Arizona,Tucson,11 - 20 years,8 - 10 years,Master's degree,Woman,White
executive director,45-54,nonprofits,168000.0,10000.0,178000.0,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
development manager,35-44,nonprofits,60000.0,0.0,60000.0,United States,California,Pasadena,8 - 10 years,2 - 4 years,Master's degree,Woman,White
director,35-44,market research,114000.0,16800.0,130800.0,United States,Massachusetts,Needham,11 - 20 years,8 - 10 years,Master's degree,Woman,White
chemistry phd student,25-34,education (higher education),35000.0,0.0,35000.0,United States,Massachusetts,"Cambridge, MA",5-7 years,5-7 years,Master's degree,Woman,White
paralegal,55-64,law,60000.0,0.0,44902.88284604376,Canada,Other,Regina,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
registered nurse,35-44,health care,60000.0,0.0,60000.0,United States,New York,Rochester,8 - 10 years,5-7 years,College degree,Woman,White
business analyst ,25-34,engineering or manufacturing,69000.0,3000.0,72000.0,United States,Texas,Dallas,5-7 years,1 year or less,College degree,Woman,"Asian or Asian American, White"
data analyst,18-24,utilities & telecommunications,53000.0,0.0,53000.0,United States,Ohio,Columbus,2 - 4 years,1 year or less,College degree,Man,White
teacher,35-44,education (primary/secondary),106733.0,2000.0,108733.0,United States,California,Jurupa Valley,21 - 30 years,21 - 30 years,Master's degree,Woman,White
software engineer,18-24,computing or tech,80000.0,0.0,80000.0,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
talent consultant,35-44,recruitment or hr,80000.0,5000.0,105618.79759655098,United Kingdom,Other,"London, UK",11 - 20 years,11 - 20 years,Master's degree,Woman,White
systems engineer,25-34,engineering or manufacturing,91914.0,600.0,92514.0,United States,Colorado,Colorado Springs,5-7 years,2 - 4 years,Master's degree,Woman,White
bank teller,25-34,"accounting, banking & finance",33200.0,1000.0,34200.0,United States,Florida,Boynton Beach,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
captioning coordinator,25-34,education (higher education),39129.0,0.0,39129.0,United States,Texas,Austin,5-7 years,2 - 4 years,College degree,Man,White
public administrator,55-64,government and public administration,34000.0,0.0,34000.0,United States,Kansas,Topeka,31 - 40 years,11 - 20 years,Some college,Woman,White
graphic designer,25-34,manufacturing,54538.0,700.0,55238.0,United States,California,Carpinteria,8 - 10 years,8 - 10 years,College degree,Woman,White
director of engineering,25-34,computing or tech,170000.0,20000.0,190000.0,United States,Arizona,"Phoenix, AZ",5-7 years,5-7 years,College degree,Woman,White
software engineer ii,25-34,computing or tech,109450.0,0.0,109450.0,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,Master's degree,Man,White
system programmer i,18-24,computing or tech,66463.0,5000.0,71463.0,United States,Pennsylvania,Mechanicsburg,2 - 4 years,2 - 4 years,College degree,Woman,White
branch chief,45-54,government and public administration,105000.0,12000.0,117000.0,United States,Virginia,ARLINGTON,21 - 30 years,21 - 30 years,Master's degree,Woman,White
assistant project manager,25-34,property or construction,85000.0,0.0,85000.0,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White
hr generalist ,25-34,education (primary/secondary),59000.0,0.0,59000.0,United States,Virginia,Stafford,8 - 10 years,2 - 4 years,College degree,Woman,White
senior engineer,35-44,computing or tech,150000.0,80000.0,230000.0,United States,Utah,Lehi,11 - 20 years,11 - 20 years,College degree,Man,White
executive assistant ,35-44,retail,90000.0,5000.0,95000.0,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Some college,Woman,White
human resources manager,35-44,government and public administration,75000.0,0.0,75000.0,United States,Vermont,Burlington,11 - 20 years,11 - 20 years,College degree,Woman,White
software development engineer,55-64,computing or tech,187000.0,230000.0,417000.0,United States,California,Santa Cruz,41 years or more,11 - 20 years,College degree,Man,White
"director, new product development",25-34,nonprofits,94710.0,0.0,94710.0,United States,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
marketing associate,25-34,computing or tech,53000.0,0.0,53000.0,United States,New Jersey,Morristown,2 - 4 years,2 - 4 years,College degree,Woman,White
director strategic programs & internal communications,35-44,computing or tech,130000.0,19505.0,149505.0,United States,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Woman,White
payroll and accounts payable asst,35-44,health care,43000.0,7000.0,50000.0,United States,New York,Rochester,11 - 20 years,2 - 4 years,Master's degree,Woman,White
senior environmental scientist,35-44,engineering or manufacturing,97500.0,20000.0,117500.0,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
solicitor,35-44,law,59000.0,0.0,39611.090731230135,New Zealand,Other,Auckland,11 - 20 years,1 year or less,College degree,Woman,"Asian or Asian American, White"
freight associate,55-64,retail,56000.0,500.0,56500.0,United States,Oregon,Portland,21 - 30 years,21 - 30 years,Some college,Woman,White
"director, biostatistics ",45-54,big pharma,220000.0,40000.0,260000.0,United States,Pennsylvania,North Wales,21 - 30 years,21 - 30 years,PhD,Woman,White
financial advisor,45-54,"accounting, banking & finance",50000.0,90000.0,140000.0,United States,California,Fairfield,21 - 30 years,21 - 30 years,Some college,Woman,White
environmental protection specialist,35-44,government and public administration,134000.0,0.0,134000.0,United States,Maryland,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
librarian,35-44,government and public administration,59000.0,0.0,59000.0,United States,South Carolina,Columbia,11 - 20 years,8 - 10 years,Master's degree,Man,White
it change manager,35-44,computing or tech,77000.0,0.0,77000.0,United States,North Carolina,Research Triangle Park,2 - 4 years,2 - 4 years,Master's degree,Woman,White
research data analyst,25-34,education (higher education),42500.0,0.0,42500.0,United States,Indiana,indianapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
outreach coordinator,25-34,nonprofits,55000.0,0.0,55000.0,United States,Massachusetts,Remote work,8 - 10 years,2 - 4 years,College degree,Man,White
"it consultant, level 2",45-54,computing or tech,72800.0,0.0,72800.0,United States,Oregon,Eugene,21 - 30 years,11 - 20 years,College degree,Woman,White
legal secretary,35-44,law,82000.0,0.0,55052.702372218155,Australia,Other,Perth,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American
principal engineer,55-64,engineering or manufacturing,200000.0,60000.0,260000.0,United States,California,San Jose,31 - 40 years,31 - 40 years,PhD,Woman,White
software developer,25-34,computing or tech,57000.0,0.0,70826.72309415771,United Kingdom,Other,Edinburgh,5-7 years,5-7 years,College degree,Woman,White
sales operations manager ,35-44,engineering or manufacturing,65000.0,5000.0,70000.0,United States,New Jersey,Danbury CT,11 - 20 years,5-7 years,College degree,Woman,White
hris analyst,25-34,recruitment or hr,65000.0,0.0,65000.0,United States,Illinois,Deerfield,5-7 years,2 - 4 years,College degree,Woman,Black or African American
program coordinator ,35-44,entertainment,50000.0,0.0,50000.0,United States,District of Columbia,DC,21 - 30 years,11 - 20 years,College degree,Woman,White
program coordinator ,35-44,government and public administration,90000.0,0.0,90000.0,United States,Washington,Bellevue,21 - 30 years,11 - 20 years,Master's degree,Woman,White
senior data scientist,35-44,computing or tech,180000.0,0.0,180000.0,United States,California,San Francisco,8 - 10 years,8 - 10 years,PhD,Woman,White
librarian,35-44,government and public administration,35000.0,0.0,35000.0,United States,Nebraska,Omaha,8 - 10 years,2 - 4 years,Some college,Woman,White
budget manager,55-64,education (higher education),94000.0,0.0,94000.0,United States,Colorado,Fort Collins,31 - 40 years,21 - 30 years,College degree,Woman,White
practice director,35-44,computing or tech,173500.0,35000.0,208500.0,United States,Massachusetts,From home,21 - 30 years,11 - 20 years,Master's degree,Man,White
senior software developer,25-34,computing or tech,130000.0,0.0,130000.0,United States,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White
psychiatric nurse practitioner ,25-34,health care,95000.0,0.0,95000.0,United States,Tennessee,Tullahoma,2 - 4 years,2 - 4 years,Master's degree,Woman,White
pa/ team assistant ,25-34,oil and gas ,47000.0,3800.0,63122.763740056354,United Kingdom,Other,London,11 - 20 years,11 - 20 years,Some college,Woman,White
law clerk,25-34,law,76000.0,0.0,76000.0,United States,Alabama,Birmingham,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
manager of community relations,35-44,nonprofits,77000.0,0.0,77000.0,United States,Minnesota,Minneapolis,8 - 10 years,5-7 years,Master's degree,Woman,White
assistant director ,35-44,government and public administration,107000.0,0.0,107000.0,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
automation applications engineer,35-44,engineering or manufacturing,93000.0,9000.0,76334.90083827438,Canada,Other,"Cambridge, Ontario",11 - 20 years,11 - 20 years,Master's degree,Woman,White
customer success manager,25-34,computing or tech,72000.0,0.0,53883.4594152525,Canada,Other,Toronto,5-7 years,2 - 4 years,College degree,Woman,White
psychotherapist,25-34,social work,50500.0,0.0,50500.0,United States,Connecticut,New Britain,5-7 years,5-7 years,Master's degree,Woman,White
recruiter,25-34,recruitment or hr,89000.0,13300.0,102300.0,United States,Michigan,Ann Arbor,8 - 10 years,2 - 4 years,College degree,Woman,White
corporate controller,35-44,"accounting, banking & finance",200000.0,40000.0,240000.0,United States,California,San Diego,21 - 30 years,11 - 20 years,College degree,Woman,White
adivsor & program coordinator,25-34,education (higher education),45000.0,0.0,45000.0,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Woman,White
comminications specialist,45-54,insurance,69000.0,5000.0,55380.2221767873,Canada,Other,Winnipeg,21 - 30 years,11 - 20 years,College degree,Woman,"White, Another option not listed here or prefer not to answer"
operations analyst,25-34,hospitality & events,50000.0,0.0,50000.0,United States,Nebraska,Omaha,11 - 20 years,5-7 years,College degree,Woman,White
senior hr coordinator ,35-44,health care,53539.0,1000.0,54539.0,United States,Kansas,Salina,8 - 10 years,5-7 years,College degree,Woman,White
social worker,25-34,social work,74500.0,4000.0,78500.0,United States,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
fundraising copywriter,35-44,nonprofits,61089.0,1000.0,62089.0,United States,California,San Diego,11 - 20 years,11 - 20 years,College degree,Woman,White
coordinator,35-44,education (higher education),60000.0,0.0,60000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
administrative manager for education,25-34,education (higher education),40798.0,0.0,40798.0,United States,Ohio,Cleveland,8 - 10 years,8 - 10 years,College degree,Woman,White
legal specialist,45-54,law,75000.0,7500.0,82500.0,United States,Indiana,Indianapolis,21 - 30 years,11 - 20 years,Master's degree,Woman,White
senior research scientist,35-44,biotech,135000.0,5000.0,140000.0,United States,California,San Francisco,5-7 years,5-7 years,PhD,Woman,White
library specialist,25-34,education (higher education),44500.0,0.0,44500.0,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
doctoral candidate,25-34,education (higher education),27000.0,0.0,27000.0,United States,Virginia,Charlottesville,5-7 years,5-7 years,Master's degree,Woman,White
staff attorney,45-54,law,96000.0,0.0,96000.0,United States,Utah,Salt Lake City,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
risk professional,25-34,"accounting, banking & finance",90000.0,7500.0,97500.0,United States,Pennsylvania,Devon,11 - 20 years,11 - 20 years,Master's degree,Woman,White
insurance producer,45-54,insurance,32408.0,6000.0,38408.0,United States,Illinois,Chicago,31 - 40 years,5-7 years,Some college,Woman,White
loan processor ,25-34,"accounting, banking & finance",38400.0,7200.0,45600.0,United States,California,Santa Rosa,5-7 years,1 year or less,College degree,Woman,White
senior manager,25-34,nonprofits,92000.0,0.0,92000.0,United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Man,White
lead software engineer,65 or over,computing or tech,147000.0,5000.0,152000.0,United States,Virginia,remove,41 years or more,41 years or more,Master's degree,Woman,White
service coordinator ,35-44,automotive repair,31200.0,3800.0,35000.0,United States,South Carolina,Summerville,11 - 20 years,2 - 4 years,Master's degree,Woman,White
executive assistant ii,55-64,Other,87490.0,3000.0,90490.0,United States,Massachusetts,Danvers,31 - 40 years,31 - 40 years,College degree,Woman,White
associate attorney,35-44,law,62000.0,3000.0,65000.0,United States,New York,Buffalo,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
data analyst,25-34,computing or tech,100000.0,10000.0,110000.0,United States,Washington,Seattle,8 - 10 years,1 year or less,Master's degree,Woman,White
organizational change managment analyst  ,25-34,business or consulting,61000.0,0.0,61000.0,United States,District of Columbia,"Washington, DC",8 - 10 years,1 year or less,College degree,Woman,White
"instructor, university studies",65 or over,education (higher education),120000.0,0.0,89805.76569208752,Canada,Other,Edmonton,31 - 40 years,21 - 30 years,Master's degree,Woman,White
wardrobe supervisor ,25-34,entertainment,37500.0,7000.0,44500.0,United States,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,College degree,Woman,White
special event manager,45-54,nonprofits,52000.0,0.0,52000.0,United States,Missouri,St. Louis,21 - 30 years,11 - 20 years,College degree,Woman,White
senior executive assistant,55-64,"accounting, banking & finance",98000.0,43000.0,141000.0,United States,New York,New York City,31 - 40 years,21 - 30 years,College degree,Woman,White
clinical dietitian ,25-34,health care,64000.0,0.0,64000.0,United States,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
assistant professor,25-34,education (higher education),85000.0,0.0,85000.0,United States,New York,Bronx,5-7 years,5-7 years,PhD,Woman,White
chief programs officer,35-44,nonprofits,120000.0,0.0,120000.0,United States,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Woman,White
mid-level giving manager,25-34,nonprofits,59874.0,0.0,59874.0,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,College degree,Woman,Black or African American
data processing ,65 or over,nonprofits,30000.0,0.0,22451.44142302188,Canada,Other,Ottawa,41 years or more,11 - 20 years,High School,Woman,Another option not listed here or prefer not to answer
human resources and operations manager,35-44,business or consulting,95600.0,2000.0,97600.0,United States,Virginia,Reston,11 - 20 years,8 - 10 years,College degree,Woman,White
college adviser,18-24,education (primary/secondary),28000.0,4800.0,32800.0,United States,North Carolina,Durham,2 - 4 years,2 - 4 years,College degree,Woman,White
software developer,25-34,computing or tech,80000.0,0.0,80000.0,United States,Pennsylvania,Philadelphiai,5-7 years,2 - 4 years,College degree,Woman,White
senior young adult librarian,35-44,nonprofits,65000.0,0.0,65000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
data analyst,35-44,insurance,98000.0,6000.0,104000.0,United States,Illinois,Bloomington,8 - 10 years,5-7 years,PhD,Man,White
engineering manager i,45-54,engineering or manufacturing,86382.0,0.0,86382.0,United States,Utah,Orem,21 - 30 years,21 - 30 years,Master's degree,Man,White
of counsel,45-54,law,135000.0,0.0,135000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
contract special security officer ,25-34,law enforcement & security,97000.0,0.0,97000.0,United States,Washington,Silverdale,11 - 20 years,8 - 10 years,College degree,Woman,White
systems & communications manager,25-34,wine importing/distribution,33000.0,1000.0,42247.5190386204,United Kingdom,Other,London,8 - 10 years,8 - 10 years,Master's degree,Woman,White
public health compliance officer ,35-44,government and public administration,29000.0,0.0,36034.64859176445,United Kingdom,Other,Perth,8 - 10 years,2 - 4 years,College degree,Man,White
contract administrator,45-54,health care,75000.0,1250.0,76250.0,United States,Hawaii,Honolulu,11 - 20 years,5-7 years,Some college,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin"
development,25-34,nonprofits,55000.0,0.0,55000.0,United States,Texas,Wichita Falls,8 - 10 years,5-7 years,College degree,Woman,White
predoctoral intern,25-34,health care,32000.0,0.0,32000.0,United States,Texas,Houston,5-7 years,5-7 years,Master's degree,Woman,White
student services officer,25-34,education (higher education),85000.0,0.0,85000.0,United States,California,Bay Area / Palo Alto,8 - 10 years,2 - 4 years,Master's degree,Woman,White
director of engineering,35-44,computing or tech,190000.0,15000.0,205000.0,United States,North Carolina,Charlotte,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
director of operations,55-64,nonprofits,77000.0,2000.0,79000.0,United States,Colorado,Boulder,31 - 40 years,31 - 40 years,Master's degree,Woman,White
communication associate,25-34,nonprofits,44000.0,0.0,44000.0,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White
sr engineer,35-44,computing or tech,100000.0,10000.0,110000.0,United States,Iowa,Des Moines,11 - 20 years,11 - 20 years,Master's degree,Man,White
onboarding specialist ,25-34,recruitment or hr,78000.0,5000.0,83000.0,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
typesetter,45-54,media & digital,68000.0,0.0,68000.0,United States,District of Columbia,Washington DC,21 - 30 years,21 - 30 years,Some college,Woman,White
bookkeeper,35-44,"accounting, banking & finance",35360.0,0.0,35360.0,United States,Virginia,Richmond,2 - 4 years,2 - 4 years,College degree,Woman,White
loan processor ,25-34,"accounting, banking & finance",38400.0,7200.0,45600.0,United States,California,Santa Rosa,5-7 years,1 year or less,College degree,Woman,White
regulatory affairs associate/project manager,25-34,health care,42000.0,0.0,52188.111753589896,United Kingdom,Other,London,2 - 4 years,2 - 4 years,College degree,Woman,White
division manager,35-44,government and public administration,117000.0,0.0,117000.0,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
policy publications editor,25-34,nonprofits,75000.0,0.0,75000.0,United States,Maine,"Work remotely for a NYC business from Portland, ME",11 - 20 years,8 - 10 years,College degree,Woman,White
brand manager,35-44,"marketing, advertising & pr",151000.0,0.0,151000.0,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
associate professor-librarian,65 or over,education (higher education),91000.0,7000.0,98000.0,United States,New Jersey,"Lawrenceville, NJ",21 - 30 years,11 - 20 years,Master's degree,Woman,White
technical writer,25-34,computing or tech,75000.0,0.0,75000.0,United States,Oregon,Portland,5-7 years,2 - 4 years,College degree,Woman,White
sr business analyst,25-34,computing or tech,90000.0,0.0,67354.32426906563,Canada,Other,Vancouver,5-7 years,2 - 4 years,College degree,Woman,White
data entry specialist ,25-34,law,33600.0,0.0,33600.0,United States,Florida,Pensacola,5-7 years,5-7 years,Some college,Woman,White
associate attorney,25-34,law,155000.0,7000.0,162000.0,United States,Illinois,Chicago,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White
senior software engineer,25-34,computing or tech,135000.0,50000.0,185000.0,United States,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman,White
ux writer,25-34,education (higher education),60000.0,0.0,44902.88284604376,Canada,Other,Quebec City,2 - 4 years,2 - 4 years,Master's degree,Woman,White
legal secretary,25-34,law,55000.0,0.0,55000.0,United States,Michigan,Lansing,8 - 10 years,8 - 10 years,College degree,Woman,White
senior manager of development,25-34,nonprofits,65000.0,0.0,65000.0,United States,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Woman,White
director of development,25-34,nonprofits,90000.0,0.0,90000.0,United States,California,Bay Area,8 - 10 years,8 - 10 years,College degree,Woman,White
senior it security analyst,35-44,utilities & telecommunications,102000.0,5000.0,107000.0,United States,Washington,Bellevue,11 - 20 years,5-7 years,College degree,Woman,White
director of operations,25-34,nonprofits,53000.0,0.0,53000.0,United States,California,San Diego,8 - 10 years,8 - 10 years,Master's degree,Man,White
superintendent ,45-54,education (primary/secondary),230000.0,0.0,230000.0,United States,Missouri,St Louis,21 - 30 years,21 - 30 years,PhD,Man,White
research scientist and lab manager,25-34,laboratory research,48000.0,0.0,48000.0,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
associate director,35-44,business or consulting,103000.0,10000.0,113000.0,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Man,White
senior director,35-44,computing or tech,85000.0,10000.0,95000.0,United States,Florida,West Palm Beach,8 - 10 years,8 - 10 years,Some college,Woman,White
accounting clerk,25-34,"accounting, banking & finance",37440.0,0.0,37440.0,United States,Oregon,Portland,8 - 10 years,1 year or less,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
sr. compliance analyst ,25-34,"accounting, banking & finance",72800.0,6000.0,78800.0,United States,California,San Diego,5-7 years,2 - 4 years,College degree,Woman,Black or African American
"manager, development operations",45-54,education (higher education),93000.0,0.0,69599.46841136782,Canada,Other,Vancouver,21 - 30 years,11 - 20 years,Some college,Woman,White
technical editor,45-54,business or consulting,85000.0,1000.0,86000.0,United States,Virginia,Fredericksburg,21 - 30 years,21 - 30 years,Master's degree,Woman,"Asian or Asian American, White"
office manager,35-44,engineering or manufacturing,60000.0,2500.0,62500.0,United States,Maryland,Bethesda,11 - 20 years,1 year or less,College degree,Woman,White
cpa,35-44,"accounting, banking & finance",85000.0,0.0,85000.0,United States,Washington,Bellingham,8 - 10 years,8 - 10 years,College degree,Woman,White
marketing (consultant),35-44,"marketing, advertising & pr",260000.0,0.0,260000.0,United States,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White
lecturer,35-44,education (higher education),63000.0,0.0,63000.0,United States,California,Davis,8 - 10 years,8 - 10 years,PhD,Woman,White
library director,25-34,government and public administration,85000.0,0.0,85000.0,United States,Michigan,Hartland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
adjunct instructor,35-44,education (higher education),30000.0,0.0,30000.0,United States,Alabama,Tuscaloosa,11 - 20 years,8 - 10 years,PhD,Woman,White
program manager,25-34,health care,74803.0,0.0,74803.0,United States,North Carolina,Durham,5-7 years,5-7 years,Master's degree,Woman,White
executive assistant,35-44,health care,52000.0,0.0,52000.0,United States,New Mexico,Albuquerque,21 - 30 years,2 - 4 years,College degree,Woman,White
analyst,35-44,government and public administration,110000.0,0.0,82321.95188441355,Canada,Other,Ottawa,11 - 20 years,11 - 20 years,Master's degree,Woman,White
development officer,35-44,education (higher education),92000.0,0.0,68851.08703060042,Canada,Other,Kelowna,11 - 20 years,8 - 10 years,Master's degree,Woman,White
section relationship manager,25-34,nonprofits,58000.0,0.0,58000.0,United States,Colorado,Denver,5-7 years,5-7 years,College degree,Woman,White
librarian,35-44,education (higher education),68000.0,0.0,68000.0,United States,North Carolina,Wilmington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
international banking specialist,35-44,"accounting, banking & finance",52400.0,3000.0,55400.0,United States,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,High School,Woman,White
it support specialist,25-34,government and public administration,51000.0,0.0,51000.0,United States,Louisiana,Baton Rouge,5-7 years,2 - 4 years,College degree,Woman,White
library manager,25-34,government and public administration,75000.0,0.0,75000.0,United States,Texas,Austin,11 - 20 years,5-7 years,Master's degree,Woman,White
assistant professor,35-44,education (higher education),84000.0,0.0,84000.0,United States,Massachusetts,Northampton,5-7 years,5-7 years,PhD,Woman,White
talent development manager,35-44,aerospace/aviation ,90000.0,9000.0,99000.0,United States,Ohio,Cleveland,8 - 10 years,8 - 10 years,Master's degree,Woman,White
senior accountant,25-34,engineering or manufacturing,89000.0,10000.0,99000.0,United States,Pennsylvania,OUtside Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
product manager,25-34,nonprofits,68000.0,1000.0,69000.0,United States,Massachusetts,"Boston, MA",8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
director,35-44,business or consulting,200000.0,15000.0,215000.0,United States,District of Columbia,Washington DC,21 - 30 years,21 - 30 years,College degree,Woman,White
senior program manager,55-64,utilities & telecommunications,134318.0,4500.0,138818.0,United States,Massachusetts,Boston,31 - 40 years,31 - 40 years,Master's degree,Woman,White
marketing analyst,25-34,engineering or manufacturing,78000.0,8000.0,86000.0,United States,Alabama,Birmingham,8 - 10 years,8 - 10 years,College degree,Woman,White
benefit technology analyst,35-44,insurance,56000.0,1000.0,57000.0,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College degree,Woman,White
historian,35-44,government and public administration,92000.0,0.0,92000.0,United States,District of Columbia,D.C.,11 - 20 years,8 - 10 years,PhD,Woman,White
operations manager,25-34,property or construction,92500.0,15000.0,107500.0,United States,California,Los Angeles,11 - 20 years,5-7 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
career services advisor ,35-44,education (higher education),40000.0,0.0,40000.0,United States,New York,Rochester,11 - 20 years,5-7 years,Master's degree,Woman,White
program coordinator,25-34,nonprofits,58572.0,0.0,58572.0,United States,California,San Francisco,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
director of operations,45-54,nonprofits,90000.0,0.0,67354.32426906563,Canada,Other,Winnipeg,21 - 30 years,8 - 10 years,Some college,Man,White
system architect,35-44,computing or tech,72000.0,0.0,72000.0,United States,Ohio,Toledo,21 - 30 years,11 - 20 years,College degree,Man,White
design engineer 2,18-24,engineering or manufacturing,75660.0,3330.0,78990.0,United States,Minnesota,Maplewood,2 - 4 years,2 - 4 years,Master's degree,Woman,White
associate software engineer,25-34,"marketing, advertising & pr",52174.0,0.0,52174.0,United States,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Man,White
department manager,45-54,education (higher education),66000.0,0.0,66000.0,United States,Washington,Bellingham,21 - 30 years,5-7 years,Master's degree,Woman,White
library director,35-44,government and public administration,91000.0,0.0,91000.0,United States,Georgia,Atlanta suburb,11 - 20 years,11 - 20 years,Master's degree,Woman,White
senior technical writer,55-64,engineering or manufacturing,89000.0,500.0,89500.0,United States,South Carolina,North Charleston,21 - 30 years,21 - 30 years,College degree,Woman,White
executive assistant,45-54,"accounting, banking & finance",54000.0,2250.0,56250.0,United States,Ohio,Cleveland,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
director,45-54,health care,201000.0,60000.0,261000.0,United States,Ohio,Cleveland,21 - 30 years,11 - 20 years,Master's degree,Woman,White
senior associate director ,45-54,education (higher education),79000.0,0.0,79000.0,United States,Other,Philadelphia,21 - 30 years,21 - 30 years,College degree,Woman,White
senior tax accountant,25-34,"accounting, banking & finance",103000.0,30000.0,133000.0,United States,North Carolina,Charlotte,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5th year associate at law firm ,35-44,law,226000.0,0.0,226000.0,United States,Maryland,Baltimore,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
product designer,25-34,computing or tech,86000.0,0.0,86000.0,United States,California,Orange,8 - 10 years,2 - 4 years,College degree,Woman,White
research analyst,35-44,law,80000.0,3000.0,83000.0,United States,Oregon,Portland,21 - 30 years,8 - 10 years,Master's degree,Woman,White
supervisory special agent,35-44,law enforcement & security,168150.0,0.0,168150.0,United States,District of Columbia,Washington,21 - 30 years,21 - 30 years,College degree,Woman,White
ea,35-44,"accounting, banking & finance",65000.0,5000.0,70000.0,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
associate management analyst,18-24,government and public administration,71177.0,0.0,71177.0,United States,California,Los Gatos,2 - 4 years,2 - 4 years,College degree,Woman,White
associate ,25-34,retail,46000.0,0.0,34425.54351530021,Canada,Other,Toronto,5-7 years,2 - 4 years,College degree,Woman,White
partner,35-44,law,450000.0,0.0,450000.0,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
health care policy analyst,35-44,government and public administration,111000.0,1800.0,112800.0,United States,Colorado,Aurora,11 - 20 years,5-7 years,Master's degree,Woman,White
marketing director,25-34,agriculture or forestry,80000.0,5000.0,85000.0,United States,Kentucky,Lexington,8 - 10 years,8 - 10 years,College degree,Woman,White
