Job title,Age,Industry,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
senior associate,35-44,business or consulting,100000.0,United States,Massachusetts,Boston,11 - 20 years,5-7 years,PhD,Woman,White
software developer,18-24,media & digital,72000.0,United States,Illinois,Moline,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
sr. product manager,35-44,media & digital,113000.0,United States,Virginia,Arlington,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
senior designer,35-44,art & design,110000.0,United States,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman,White
office manager,35-44,"accounting, banking & finance",60000.0,United States,Maine,Portland,11 - 20 years,5-7 years,College degree,Woman,White
reference and research librarian,35-44,education (higher education),47000.0,United States,South Carolina,Spartanburg,8 - 10 years,5-7 years,Master's degree,Woman,White
content writer,25-34,"marketing, advertising & pr",41610.00477066721,Canada,Other,Toronto,2 - 4 years,2 - 4 years,College degree,Woman,White
production control specialist,25-34,engineering or manufacturing,60000.0,United States,Alabama,Athens,8 - 10 years,8 - 10 years,College degree,Woman,White
full charge bookkeeper,45-54,engineering or manufacturing,77200.0,United States,Pennsylvania,Bethlehem,11 - 20 years,11 - 20 years,College degree,Woman,White
cpa,55-64,"accounting, banking & finance",62000.0,United States,Minnesota,New Ulm,31 - 40 years,31 - 40 years,College degree,Woman,White
postdoc,25-34,government and public administration,66000.0,United States,Maryland,Rockville,2 - 4 years,2 - 4 years,PhD,Woman,White
senior manager,35-44,nonprofits,130000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
asset protection ,18-24,retail,34200.0,United States,Texas,Waco,31 - 40 years,2 - 4 years,High School,Woman,White
software engineer 2,25-34,computing or tech,128000.0,United States,Texas,Austin,5-7 years,5-7 years,College degree,Man,White
executive director,35-44,nonprofits,87500.0,United States,Idaho,Boise,11 - 20 years,11 - 20 years,Master's degree,Woman,White
research analyst,18-24,business or consulting,68150.0,United States,Virginia,Falls Church,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
operations manager,35-44,engineering or manufacturing,176000.0,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
supervisory archivist,45-54,government and public administration,153000.0,United States,Maryland,College Park,21 - 30 years,21 - 30 years,Master's degree,Woman,White
epidemiologist,35-44,government and public administration,132500.0,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,PhD,Woman,White
it analyst,45-54,government and public administration,64000.0,United States,North Carolina,Durham area,21 - 30 years,11 - 20 years,Master's degree,Woman,White
sr business analyst,25-34,business or consulting,95000.0,United States,Texas,Plano,8 - 10 years,8 - 10 years,College degree,Man,White
insurance broker,25-34,insurance,54631.840796019904,Canada,Other,Toronto,11 - 20 years,8 - 10 years,Some college,Woman,White
associate recruiter,18-24,recruitment or hr,49000.0,United States,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,White
project manager,25-34,business or consulting,65000.0,United States,Michigan,Rochester Hills,2 - 4 years,2 - 4 years,College degree,Woman,White
tax accountant,25-34,"accounting, banking & finance",81120.0,United States,Other,AtlantA,8 - 10 years,8 - 10 years,College degree,Woman,White
director,35-44,art & design,78000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
librarian,18-24,government and public administration,31000.0,United States,Indiana,Fort Wayne,2 - 4 years,2 - 4 years,College degree,Woman,White
software developer,25-34,education (higher education),88000.0,United States,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,White
public information officer,25-34,government and public administration,52000.0,United States,Idaho,Boise,5-7 years,2 - 4 years,College degree,Woman,White
library assistant,55-64,government and public administration,24000.0,United States,Virginia,Bristol,21 - 30 years,8 - 10 years,College degree,Woman,White
research assistant,25-34,nonprofits,54000.0,United States,District of Columbia,Washington,2 - 4 years,1 year or less,Master's degree,Woman,White
corporate and foundation relations manager,45-54,education (higher education),41470.0,United States,Kentucky,Central Kentucky,21 - 30 years,11 - 20 years,College degree,Woman,White
application development analyst,18-24,business or consulting,73625.0,United States,District of Columbia,DC,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
senior editor,25-34,media & digital,75800.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
program coordinator,25-34,education (primary/secondary),36600.0,United States,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Woman,White
managing editor,55-64,media & digital,99000.0,United States,Pennsylvania,Full time remote from my home near a major PA city,31 - 40 years,31 - 40 years,College degree,Woman,White
donor relations manager,25-34,nonprofits,70000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
admin assistant ,25-34,government and public administration,38033.49015197983,Canada,Other,Surrey BC,5-7 years,5-7 years,College degree,Woman,White
executive director ,35-44,nonprofits,65520.0,United States,Missouri,Saint Louis,8 - 10 years,8 - 10 years,Master's degree,Woman,White
learning specialist,25-34,education (primary/secondary),75000.0,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
senior accountant,25-34,"accounting, banking & finance",85000.0,United States,North Carolina,Greensboro,8 - 10 years,8 - 10 years,Master's degree,Woman,White
data analyst,25-34,nonprofits,85000.0,United States,New York,New York City,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
banker,25-34,"accounting, banking & finance",36060.0,United States,Minnesota,Northfield,2 - 4 years,2 - 4 years,College degree,Woman,White
technical writer,45-54,computing or tech,50000.0,United States,Utah,Lehi,8 - 10 years,1 year or less,College degree,Woman,White
attorney ,35-44,government and public administration,146220.0,United States,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,White
analyst,18-24,"accounting, banking & finance",108515.3002112724,Canada,Other,Toronto,1 year or less,1 year or less,College degree,Woman,White
senior it manager,45-54,government and public administration,125000.0,United States,Texas,Houston,21 - 30 years,11 - 20 years,High School,Man,White
hr specialist,35-44,government and public administration,98765.0,United States,California,Naval Base,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
compensation analyst,25-34,aerospace/defense,68800.0,United States,Rhode Island,Providence,2 - 4 years,2 - 4 years,College degree,Woman,White
senior software engineer,25-34,computing or tech,142860.0,United States,Maryland,Columbia,11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American
payment services officer,35-44,government and public administration,50889.93389218292,Canada,Other,Edmonton,11 - 20 years,1 year or less,College degree,Man,"Asian or Asian American, White"
graphic designer,25-34,art & design,27300.0,United States,South Carolina,Greenville,5-7 years,5-7 years,College degree,Woman,White
senior executive assistant,25-34,computing or tech,130000.0,United States,Washington,Seattle,8 - 10 years,5-7 years,College degree,Woman,White
planning & development director,45-54,government and public administration,89980.0,United States,Texas,Dallas/Fort Worth region,11 - 20 years,11 - 20 years,Master's degree,Woman,White
art teacher,25-34,education (primary/secondary),41000.0,United States,North Carolina,Winston-Salem,5-7 years,5-7 years,Master's degree,Woman,White
statistician,35-44,government and public administration,117059.0,United States,Maryland,Suitland,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Another option not listed here or prefer not to answer"
brand manager,25-34,media & digital,95000.0,United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
retention specialist and coordinator for academic programs,25-34,education (higher education),48000.0,United States,Colorado,Fort Collins,5-7 years,5-7 years,Master's degree,Woman,White
principal integration and test engineer,35-44,engineering or manufacturing,118000.0,United States,Florida,Merritt Island,11 - 20 years,11 - 20 years,Master's degree,Woman,White
principal scientist,35-44,pharmaceutical,141000.0,United States,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White
auditor,35-44,pharmaceuticals,131000.0,United States,Pennsylvania,Philadelphia suburbs,11 - 20 years,11 - 20 years,College degree,Woman,White
staff accountant,25-34,"accounting, banking & finance",74000.0,United States,Texas,Houston,11 - 20 years,5-7 years,College degree,Woman,White
paralegal,25-34,law,43700.0,United States,Missouri,Springfield,8 - 10 years,5-7 years,College degree,Woman,White
operations manager,25-34,"accounting, banking & finance",91000.0,United States,Georgia,Atlanta,8 - 10 years,8 - 10 years,Master's degree,Man,White
program manager,25-34,nonprofits,51000.0,United States,Maryland,Gaithersburg,8 - 10 years,5-7 years,College degree,Woman,White
research administrator,35-44,education (higher education),90000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,5-7 years,Master's degree,Woman,White
editor ,35-44,academic publishing,73000.0,United States,New Jersey,NY Metro,11 - 20 years,11 - 20 years,Master's degree,Woman,White
nurse practitioner,25-34,health care,130000.0,United States,Oregon,Medford,11 - 20 years,2 - 4 years,Master's degree,Woman,White
senior technical writer,45-54,gas & oil,75000.0,United States,Texas,Houston,21 - 30 years,11 - 20 years,College degree,Woman,White
operations manager,45-54,"leisure, sport & tourism",44902.88284604376,Canada,Other,Toronto,21 - 30 years,2 - 4 years,College degree,Woman,White
project manager,35-44,engineering or manufacturing,108000.0,United States,California,Oakland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
analytics manager,25-34,"marketing, advertising & pr",114000.0,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
writer/editor,35-44,government and public administration,84500.0,United States,Maryland,Silver Spring,8 - 10 years,5-7 years,Master's degree,Woman,White
speech-language pathologist,25-34,education (primary/secondary),75000.0,United States,Maryland,Silver Spring,8 - 10 years,8 - 10 years,Master's degree,Woman,White
assistant teaching professor,35-44,education (higher education),52125.0,United States,Missouri,Rolla,11 - 20 years,11 - 20 years,PhD,Woman,White
resource manager,25-34,engineering or manufacturing,128203.0,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Woman,White
media specialist,35-44,education (primary/secondary),57879.0,United States,Minnesota,St. Paul,5-7 years,11 - 20 years,Master's degree,Woman,White
teacher,25-34,education (primary/secondary),31731.370544537585,Canada,Other,Mississauga,2 - 4 years,2 - 4 years,College degree,Man,White
community engagement manager,18-24,nonprofits,35100.0,United States,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,White
academic librarian,25-34,education (higher education),65000.0,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master's degree,Woman,White
commercial counsel,25-34,law,160000.0,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,PhD,Woman,White
communication manager,25-34,nonprofits,48460.389485476335,United Kingdom,Other,Remote,2 - 4 years,1 year or less,College degree,Woman,White
r&d specialist ii,25-34,agriculture or forestry,77000.0,United States,North Carolina,Raleigh,5-7 years,2 - 4 years,College degree,Man,White
senior tax accountant,25-34,"accounting, banking & finance",82500.0,United States,California,San Jose,2 - 4 years,2 - 4 years,Master's degree,Woman,White
product analyst,25-34,computing or tech,97852.70953798106,United Kingdom,Other,London,5-7 years,2 - 4 years,Master's degree,Woman,White
controller,35-44,nonprofits,98000.0,United States,New York,Syracuse,11 - 20 years,11 - 20 years,Master's degree,Woman,White
marketing automation developer,25-34,"marketing, advertising & pr",65483.37081714714,Canada,Other,Toronto,8 - 10 years,5-7 years,College degree,Woman,White
administration,45-54,government and public administration,55785.0,United States,Minnesota,St. Paul,21 - 30 years,8 - 10 years,College degree,Woman,White
risk analyst,25-34,"accounting, banking & finance",108725.23281997896,United Kingdom,Other,London,2 - 4 years,2 - 4 years,College degree,Woman,White
academic advisor,35-44,education (higher education),52000.0,United States,North Carolina,Charlotte,11 - 20 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
associate director,25-34,education (higher education),90000.0,United States,New York,New York City,8 - 10 years,5-7 years,Master's degree,Woman,White
project manager ,25-34,computing or tech,40383.65790456361,United Kingdom,Other,Leeds,5-7 years,2 - 4 years,College degree,Woman,White
school librarian,35-44,education (primary/secondary),56000.0,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
regional manager,45-54,government and public administration,116000.0,United States,California,Orange,21 - 30 years,11 - 20 years,College degree,Woman,White
administrative assistant ,35-44,nonprofits,45500.0,United States,Georgia,Gainesville,11 - 20 years,11 - 20 years,College degree,Woman,White
advisor,35-44,nonprofits,108000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
library director ,45-54,education (primary/secondary),94000.0,United States,Other,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
senior analyst,25-34,government and public administration,69599.46841136782,Canada,Other,Ottawa,11 - 20 years,1 year or less,Master's degree,Woman,White
product development specialist,25-34,engineering or manufacturing,53000.0,United States,South Carolina,Greenville,2 - 4 years,2 - 4 years,College degree,Woman,White
director of finance and administration,35-44,nonprofits,88103.0,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
project coordinator ,25-34,project management ,64000.0,United States,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
assistant professor,25-34,education (higher education),93547.6725959245,Canada,Other,Mississauga,5-7 years,5-7 years,PhD,Man,White
associate director,25-34,education (higher education),102500.0,United States,New Hampshire,Hanover,11 - 20 years,11 - 20 years,Master's degree,Woman,White
associate registrar,35-44,education (higher education),100000.0,United States,Other,Boulder,11 - 20 years,11 - 20 years,College degree,Woman,White
associate publicist,18-24,media & digital,45000.0,United States,New York,New York City,2 - 4 years,1 year or less,College degree,Woman,White
director of development and communications,35-44,nonprofits,100000.0,United States,California,"San Jose, CA",11 - 20 years,8 - 10 years,Master's degree,Woman,White
senior manager,45-54,"accounting, banking & finance",75558.08096503782,Canada,Other,London,21 - 30 years,11 - 20 years,Some college,Woman,White
account manager,18-24,media & digital,44732.66721736277,United Kingdom,Other,London,2 - 4 years,2 - 4 years,College degree,Woman,White
office manager,25-34,auto repair,56000.0,United States,California,san rafael,8 - 10 years,5-7 years,College degree,Woman,White
north american service quality manager,25-34,transport or logistics,101920.0,United States,Texas,Dallas,8 - 10 years,5-7 years,College degree,Woman,White
senior product manager,35-44,computing or tech,118044.53849026289,United Kingdom,Other,London,11 - 20 years,5-7 years,College degree,Woman,White
program manager,25-34,health care,132000.0,United States,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
senior consultant,25-34,business or consulting,150400.0,United States,Indiana,Indianapolis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
technical recruiter,25-34,recruitment or hr,100000.0,United States,New York,New York City,5-7 years,2 - 4 years,College degree,Woman,White
account manager,35-44,insurance,47000.0,United States,Kentucky,Lexington,8 - 10 years,1 year or less,Some college,Woman,White
executive assistant,45-54,health care,109000.0,United States,California,Sunnyvale,21 - 30 years,5-7 years,Master's degree,Woman,White
accounts payable,45-54,property or construction,55000.0,United States,Pennsylvania,Greater Philadelphia area,31 - 40 years,2 - 4 years,College degree,Woman,White
digital product manager,25-34,agriculture or forestry,148000.0,Canada,Other,Remote,8 - 10 years,5-7 years,College degree,Man,White
lab technician,25-34,life sciences,50000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
product owner,25-34,computing or tech,109000.0,United States,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American
real estate law clerk,25-34,law,40786.78525182308,Canada,Other,"Ottawa, Ontario",8 - 10 years,8 - 10 years,College degree,Woman,White
operations engineer,25-34,computing or tech,81000.0,United States,Texas,Austin,8 - 10 years,2 - 4 years,Master's degree,Woman,White
program manager iii,45-54,computing or tech,136000.0,United States,Colorado,Denver Metro Area,11 - 20 years,8 - 10 years,College degree,Woman,"Black or African American, Middle Eastern or Northern African, Native American or Alaska Native, White"
professor,45-54,education (higher education),120000.0,United States,Illinois,chicago,11 - 20 years,11 - 20 years,PhD,Woman,White
department manager,35-44,education (higher education),83200.0,United States,Wisconsin,Madison,21 - 30 years,8 - 10 years,Some college,Woman,White
editor,55-64,editor in educational publishing,49000.0,United States,Illinois,Chicago,21 - 30 years,11 - 20 years,Some college,Woman,White
assistant manager,35-44,retail,29000.0,United States,New York,"Plattsburgh, NY",5-7 years,2 - 4 years,College degree,Woman,White
instructional systems designer,25-34,government and public administration,81500.0,United States,Maryland,Rockville,5-7 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
software engineer 2,25-34,computing or tech,102000.0,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
staff accountant,25-34,"accounting, banking & finance",63500.0,United States,Massachusetts,Medford,2 - 4 years,2 - 4 years,College degree,Woman,White
library supervisor,35-44,government and public administration,72500.0,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
store manager,35-44,retail,37448.0,United States,Colorado,Center,21 - 30 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
operations manager,45-54,computing or tech,98000.0,United States,South Carolina,Beaufort,21 - 30 years,11 - 20 years,College degree,Woman,White
middle school principal,55-64,education (primary/secondary),61000.0,United States,Colorado,Fort Collins,31 - 40 years,31 - 40 years,Master's degree,Woman,White
associate director,45-54,education (higher education),75000.0,United States,Virginia,Manassas,21 - 30 years,11 - 20 years,College degree,Woman,White
administrative assistant,35-44,business or consulting,36229.14264294964,Canada,Other,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,"Black or African American, Native American or Alaska Native, White"
systems analyst,35-44,computing or tech,74200.0,United States,Kentucky,Louisville,11 - 20 years,8 - 10 years,Some college,Woman,White
senior program analyst,25-34,government and public administration,122540.0,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
librarian,35-44,government and public administration,60000.0,United States,Florida,Tampa,11 - 20 years,11 - 20 years,Master's degree,Man,White
manager,45-54,education (higher education),75603.0,Canada,Other,Calgary,21 - 30 years,8 - 10 years,Master's degree,Woman,White
senior program manager,25-34,computing or tech,155000.0,United States,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White
environmental scientist,35-44,government and public administration,68000.0,United States,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,"Asian or Asian American, White"
training coordinator ,35-44,transport or logistics,63195.0,United States,New Hampshire,Manchester,11 - 20 years,5-7 years,College degree,Woman,White
controller,35-44,property or construction,123360.0,United States,Florida,Orlando,21 - 30 years,11 - 20 years,College degree,Woman,White
receptionist,18-24,health care,52000.0,United States,Massachusetts,Boston,2 - 4 years,1 year or less,College degree,Woman,White
member engagement associate,25-34,trade association/membership,67100.0,United States,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
social media editor,25-34,media & digital,75000.0,United States,New York,New York City,5-7 years,2 - 4 years,College degree,Woman,White
graphic design,45-54,art & design,46300.0,United States,Nevada,las vegas,21 - 30 years,21 - 30 years,College degree,Woman,White
contract manager,45-54,education (higher education),108150.0,United States,New Jersey,Princeton,11 - 20 years,8 - 10 years,Master's degree,Woman,White
psychiatric nurse practitioner,35-44,health care,140000.0,United States,Maryland,Baltimore,8 - 10 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
laboratory manager,55-64,education (higher education),50000.0,United States,Virginia,Roanoke,21 - 30 years,21 - 30 years,Master's degree,Woman,White
benefits specialist,35-44,"accounting, banking & finance",58344.0,United States,New York,Poughkeepsie,11 - 20 years,8 - 10 years,College degree,Woman,White
senior project manager,35-44,government and public administration,120000.0,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
product manager,25-34,computing or tech,75000.0,United States,New York,Brooklyn,5-7 years,2 - 4 years,College degree,Woman,White
it manager,45-54,transport or logistics,97500.0,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
analyst,25-34,government and public administration,87000.0,United States,Other,"Washington, District of Columbia",5-7 years,5-7 years,Master's degree,Woman,White
hr generalist,25-34,education (primary/secondary),70000.0,United States,New York,Albany-Schenectady-Troy Metro Area,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
foreign affairs officer,35-44,government and public administration,114059.0,United States,District of Columbia,Washington,8 - 10 years,5-7 years,Master's degree,Woman,White
client success manager,35-44,computing or tech,95000.0,United States,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Woman,White
teacher,25-34,education (primary/secondary),67000.0,United States,Georgia,Northwest Georgia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
speech-language pathologist,25-34,education (primary/secondary),44000.0,United States,New Hampshire,Plymouth,2 - 4 years,1 year or less,Master's degree,Woman,White
library director,25-34,public library,55000.0,United States,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,Master's degree,Woman,White
supervisor,45-54,law,67700.0,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,White
senior chemist,35-44,science,65364.0,United States,Tennessee,Memphis,11 - 20 years,11 - 20 years,College degree,Woman,White
content development manager,25-34,learning & development,68000.0,United States,Illinois,Evanston,8 - 10 years,8 - 10 years,PhD,Woman,White
development director,25-34,nonprofits,108000.0,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
instructional systems designer,55-64,training,71994.28882982349,Canada,Other,Montreal,31 - 40 years,21 - 30 years,College degree,Man,White
systems analyst,35-44,transport or logistics,68000.0,United States,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman,White
manufacturing planner,35-44,engineering or manufacturing,56876.984938322086,Canada,Other,Northern B.C.,11 - 20 years,2 - 4 years,Some college,Woman,White
research development coordinator,25-34,education (higher education),45000.0,United States,Tennessee,Knoxville,5-7 years,2 - 4 years,Master's degree,Woman,White
associate editor,25-34,media & digital,72000.0,United States,New York,New York City,5-7 years,5-7 years,PhD,Woman,White
digital marketing coordinator,25-34,"marketing, advertising & pr",47000.0,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
finance analyst,55-64,"accounting, banking & finance",40000.0,United States,Oregon,Prefer not to answer,21 - 30 years,11 - 20 years,College degree,Woman,"Black or African American, Native American or Alaska Native, White"
senior program officer,25-34,education (higher education),67500.0,United States,Other,District of Columbia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
consultant ,45-54,entertainment,140000.0,United States,California,Los Angeles,21 - 30 years,21 - 30 years,College degree,Woman,White
human resources director,25-34,computing or tech,90000.0,United States,Texas,Plano,8 - 10 years,8 - 10 years,Master's degree,Woman,White
nonprofit program manager,25-34,nonprofits,72000.0,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White
software developer,45-54,computing or tech,107000.0,United States,North Carolina,Cary,11 - 20 years,11 - 20 years,College degree,Woman,White
director of human resources,45-54,recruitment or hr,119700.0,United States,New York,New York City,31 - 40 years,31 - 40 years,College degree,Woman,Black or African American
associate research scientist,25-34,health care,74100.0,United States,Maryland,Gaithersburg,8 - 10 years,8 - 10 years,College degree,Woman,White
process developer,45-54,engineering or manufacturing,86500.0,United States,Colorado,Colorado Springs,21 - 30 years,21 - 30 years,College degree,Woman,White
software developer,25-34,property or construction,120000.0,United States,Illinois,Chicago,5-7 years,1 year or less,College degree,Woman,Asian or Asian American
speech-language pathologist,65 or over,education (primary/secondary),80000.0,United States,Maryland,Columbia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
client manager,35-44,"accounting, banking & finance",44732.66721736277,United Kingdom,Other,London,8 - 10 years,2 - 4 years,College degree,Man,White
buyer,35-44,property or construction,38251.0,United States,New York,Syracuse,11 - 20 years,2 - 4 years,Some college,Woman,White
communications officer,35-44,government and public administration,57625.36631908949,Canada,Other,Vancouver,8 - 10 years,5-7 years,Master's degree,Woman,White
program assistant,25-34,education (higher education),35548.115586451306,Canada,Other,"Vancouver, BC",2 - 4 years,2 - 4 years,Master's degree,Woman,White
marketing coordinator,35-44,"marketing, advertising & pr",44902.88284604376,Canada,Other,Montreal,11 - 20 years,5-7 years,Some college,Woman,White
patent attorney ,55-64,law,173912.0,United States,Virginia,Arlington,31 - 40 years,21 - 30 years,PhD,Woman,White
accountant,35-44,"accounting, banking & finance",74000.0,United States,Oregon,Portland,21 - 30 years,2 - 4 years,Master's degree,Woman,White
academic advisor,25-34,education (higher education),42000.0,United States,Utah,Salt Lake City,5-7 years,5-7 years,Master's degree,Woman,White
marketing manager,25-34,manufacturing,62864.03598446125,Canada,Other,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
marketing strategist,25-34,"marketing, advertising & pr",65100.0,United States,Tennessee,Memphis,5-7 years,5-7 years,Master's degree,Woman,White
manufacturing engineer,25-34,engineering or manufacturing,75000.0,United States,Tennessee,La Vergne,2 - 4 years,2 - 4 years,College degree,Woman,White
academic advisor,35-44,education (higher education),40000.0,United States,Nebraska,Lincoln,11 - 20 years,2 - 4 years,Master's degree,Woman,White
business analyst,25-34,computing or tech,74450.0,United States,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,Master's degree,Woman,White
paralegal,35-44,law,50945.53766421871,United Kingdom,Other,Manchester,11 - 20 years,11 - 20 years,College degree,Woman,White
records management analyst,35-44,government and public administration,71000.0,United States,Virginia,"Washington, DC",11 - 20 years,5-7 years,College degree,Man,White
cfo,45-54,manufacturing,90400.0,United States,Virginia,semirural city,31 - 40 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
crisis clinician ,25-34,social work,51000.0,United States,Vermont,Burlington,5-7 years,2 - 4 years,Master's degree,Woman,White
journalist,45-54,media & digital,55915.83402170346,United Kingdom,Other,London,21 - 30 years,21 - 30 years,Master's degree,Woman,White
recruitment consultant,18-24,recruitment or hr,62128.7044685594,United Kingdom,Other,London,2 - 4 years,2 - 4 years,College degree,Woman,White
medical writer ii,65 or over,health care,81000.0,United States,Idaho,Boise,31 - 40 years,21 - 30 years,Master's degree,Woman,White
executive assistant,18-24,real estate ,67000.0,United States,Virginia,DC,1 year or less,1 year or less,College degree,Woman,White
product and inventory manager,55-64,wholesale distribution,70000.0,United States,Tennessee,Nashville,31 - 40 years,31 - 40 years,College degree,Woman,White
genetic counselor,25-34,health care,110000.0,United States,Virginia,Herndon,8 - 10 years,8 - 10 years,Master's degree,Woman,White
practice manager,25-34,health care,48700.0,United States,Massachusetts,Brookline,5-7 years,1 year or less,College degree,Woman,White
research administrator,35-44,research administration,53000.0,United States,Missouri,St. Louis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
software engineer,25-34,computing or tech,95000.0,United States,Wisconsin,Milwaukee,2 - 4 years,2 - 4 years,College degree,Woman,White
program analyst ,35-44,government and public administration,90000.0,United States,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White
customer success manager,35-44,"marketing, advertising & pr",97000.0,United States,Ohio,Columbus,11 - 20 years,2 - 4 years,College degree,Woman,White
senior financial analyst,55-64,"accounting, banking & finance",98500.0,United States,Texas,Frisco,11 - 20 years,11 - 20 years,College degree,Woman,White
client services director,35-44,"marketing, advertising & pr",160000.0,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,College degree,Woman,White
registered architect & project manager,35-44,property or construction,74000.0,United States,Other,Ambler,11 - 20 years,11 - 20 years,Master's degree,Woman,White
associate general counsel,35-44,real estate,140000.0,United States,Florida,Tampa,8 - 10 years,8 - 10 years,Master's degree,Woman,White
research manager,35-44,education (higher education),48481.51324499564,United Kingdom,Other,Glasgow,8 - 10 years,2 - 4 years,College degree,Woman,White
reimbursement specialist,25-34,health care,48464.0,United States,North Carolina,Durham,11 - 20 years,11 - 20 years,Some college,Woman,White
qc associate,35-44,pharma,41626.2319939348,United Kingdom,Other,London,11 - 20 years,1 year or less,Master's degree,Woman,White
editor,35-44,media & digital,74000.0,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
director,35-44,libraries,78000.0,United States,Illinois,East Moline,11 - 20 years,11 - 20 years,Master's degree,Woman,White
commercial portfolio manager,35-44,"accounting, banking & finance",140000.0,United States,Utah,Utah County,8 - 10 years,5-7 years,PhD,Woman,White
product manager,25-34,computing or tech,171600.0,United States,California,San Francisco,8 - 10 years,2 - 4 years,College degree,Woman,White
